Neonatal_mortality_rate,Year_sdg3_neonat,sdg3_neonat,Life_expectancy_at_birth,Year_sdg3_lifee,Score_sdg3_lifee,Maternal_mortality_rate,Year_sdg3_matmort,sdg3_matmort,Adjusted_GDP_growth,Year_sdg8_adjgrowth,sdg8_adjgrowth
15.649,2021,62.308,77.13,2019,79.759,77.69,2020,90.835,-4.584,2021,51.35
4.724,2021,90.611,78.62,2019,84.897,17.33,2020,98.282,-0.59,2021,71.624
6.097,2021,87.054,75.03,2019,72.517,42.79,2020,95.141,-1.926,2021,64.843
6.651,2021,85.619,78.45,2019,84.31,65.75,2020,92.308,-5.402,2021,47.198
11.327,2021,73.505,71.31,2019,59.69,172.9,2020,79.09,-1.228,2021,68.386
6.993,2021,84.733,79.31,2019,87.276,74.76,2020,91.197,-0.879,2021,70.157
8.537,2021,80.733,77.87,2019,82.31,41.31,2020,95.323,-4.153,2021,53.538
4.211,2021,91.94,74.72,2019,71.448,21.13,2020,97.813,-1.948,2021,64.731
3.493,2021,93.801,76.08,2019,76.138,9.34,2020,99.267,-0.708,2021,71.025
8.105,2021,81.852,76.01,2019,75.897,59.13,2020,93.125,-5.552,2021,46.437
10.022,2021,76.886,71.82,2019,61.448,16.82,2020,98.344,-0.255,2021,73.325
10.306,2021,76.15,75.98,2019,75.793,98.88,2020,88.221,-4.693,2021,50.797
3.852,2021,92.87,76.87,2019,78.862,28.84,2020,96.862,-3.225,2021,58.249
7.876,2021,82.446,76.03,2019,75.966,39.11,2020,95.595,-7.12,2021,38.477
13.57,2021,67.694,69.5,2019,53.448,16.63,2020,98.368,0.366,2021,76.477
8.065,2021,81.956,77.35,2019,80.517,22.02,2020,97.703,-1.346,2021,67.787
13.181,2021,68.702,72.14,2019,62.552,160.9,2020,80.57,-4.733,2021,50.594
9.652,2021,77.845,75.81,2019,75.207,71.12,2020,91.646,-2.695,2021,60.939
8.375,2021,81.153,74.03,2019,69.069,42.24,2020,95.208,-5.668,2021,45.848
4.55,2021,91.062,73.9,2019,68.621,17.01,2020,98.321,-0.858,2021,70.264
23.485,2021,42.008,69.75,2019,54.31,5.15,2020,99.784,-0.671,2019,71.213
10.66,2021,75.233,71.48,2019,60.276,96.46,2020,88.52,-9.172,2021,28.061
10.557,2021,75.5,74.07,2019,69.207,84.36,2020,90.012,-4.677,2021,50.878
3.267,2021,94.386,74.31,2019,70.034,16.2,2020,98.421,-1.632,2021,66.335
4.785,2021,90.453,76.44,2019,77.379,20.62,2020,97.876,-12.435,2021,11.497
16.85,2021,59.197,65.69,2019,40.31,111.9,2020,86.615,19.039,2021,100
7.752,2021,82.767,79.29,2019,87.207,49.52,2020,94.31,-3.425,2021,57.234
12.277,2021,71.044,70.43,2019,56.655,78.24,2020,90.767,-4.171,2021,53.447
16.166,2021,60.969,70.88,2019,58.207,174.4,2020,78.905,-3.246,2021,58.142
3.305,2021,94.288,77.17,2019,79.897,7.61,2020,99.481,1.054,2021,79.97
16.004,2021,61.389,74.25,2019,69.828,123,2020,85.245,1.202,2021,80.721
6.186,2021,86.824,74.32,2019,70.069,44.24,2020,94.962,0.165,2021,75.457
12.831,2021,69.609,70.12,2019,55.586,218,2020,73.526,-2.984,2021,59.472
7.366,2021,83.767,75.04,2019,72.552,77.88,2020,90.812,-3.633,2021,56.178
14.073,2021,66.391,72.42,2019,63.517,76.11,2020,91.03,-6.441,2021,41.924
7.543,2021,83.308,68.1,2019,48.621,39.49,2020,95.548,-3.604,2021,56.325
