iso3,country,sdg_score,correlation_index_1,correlation_index_2,correlation_index_3,correlation_index_4,correlation_index_5,correlation_index_6,correlation_index_7,correlation_index_8,correlation_index_9,correlation_index_10,correlation_index_11
FIN,Finland,86.760594779,1,-10.196641007697691,-4.89622641509434,-1.3728813559322033,0.9895652899805915,0.7247075017205782,0.9449712933580351,-3.0827436037016875,0.9035158812859403,-4.813953488372094,-1.9827596492274648
SWE,Sweden,85.981396976,1,-9.72817486925037,-5.459948320413437,-1.0648967551622417,0.9886103486372282,0.7346600331674958,0.9536321483771252,-2.8819875776397517,0.8612922018475878,0.9939022159347293,-2.4451870736581
DNK,Denmark,85.683636809,1,-18.21229586935639,-4.268703898840886,-0.5486725663716813,0.9915830583799071,0.7352746525479814,0.9497765054492492,-1.933411557641537,0.9374929679588954,0.9995092992695429,-1.2043425548330209
DEU,Germany,83.358446511,1,-23.554941682013506,-4.966587112171838,-1.0172910662824208,0.9900533142356966,0.7360607060376114,0.9604914859152147,-2.81049155341039,0.8545158286778398,0.9971650025231478,-1.451941938014908
AUT,Austria,82.280189334,1,-15.57687525901368,-5.165228113440197,-0.4432989690721649,0.9927460538532962,0.7237569060773481,0.9453382650365323,-2.2355478861087144,0.8761057561265704,0.9977707929289552,-1.1001785151737897
FRA,France,82.048342711,1,-9.489052051920808,-5.468305304010349,-1.9535864978902953,0.9852250229012145,0.7026022304832714,0.9552238805970149,-3.879635653871178,0.8942939895562462,0.6229260935143288,-0.8183140592043057
NOR,Norway,82.004489146,1,-25.693360026693362,-4.649717514124294,-0.3752455795677799,0.9943664510895284,0.7378768020969856,0.9427841245017451,-1.6157467957101752,0.8924800550502118,0.9999941572520912,-0.47490449993362926
CZE,Czechia,81.874552233,1,-33.497628288055196,-5.7294751009421265,-3.0935672514619874,0.9739827245290873,0.7311827956989247,0.908675799086758,-6.0688030160226205,0.8919502971366828,0.998921646860914,-2.3252419113490506
POL,Poland,81.800175558,1,-26.991602519244225,-6.530120481927711,-4.303030303030303,0.9765412404992024,0.7155049786628734,0.9092284417549168,-5.430868167202573,0.8880179171332587,0.998492722865997,-1.8241407551752382
EST,Estonia,81.683346473,1,-12.407072230601644,-6.02247191011236,-1.1084337349397588,0.9918576721084558,0.7297297297297297,0.920844327176781,-2.790750568612585,0.9051683262209578,0.9816358761523488,-2.4990727457223834
GBR,United Kingdom,81.653142717,1,-18.870839542970693,-6.1530758226037205,-1.5641025641025637,0.9880295430876597,0.7353622229573271,0.9678111587982833,-2.8201961033999745,0.8379779650032404,0.9996632785756953,-1.133697484370666
SVN,Slovenia,81.006653661,1,-18.157088122605362,-5.684491978609626,-1.1084337349397588,0.9904933929080711,0.7200839748075577,0.8861480075901328,-2.7397157816005984,0.8485399248758028,0.9693758804434373,-0.7526026148831014
